"性別" "憂鬱" "被霸凌" "指數" "年齡"
女 29 3 18.49 17
女 4 0 20.17 15
女 3 2 15.63 16
女 20 1 21.48 18
女 25 4 18.43 15
女 24 3 16.29 13
女 16 0 20.83 17
女 13 3 19.22 17
女 10 0 18.37 17
女 9 0 16.02 13
女 5 0 16.49 13
女 18 4 18.73 17
女 52 6 18.81 12
女 11 3 13.56 13
女 17 4 19.22 14
女 18 4 26.84 16
女 14 9 18.33 12
女 8 0 18.14 17
女 11 2 17.67 17
女 18 0 18.55 17
女 26 3 17.42 15
女 15 4 18.31 14
女 18 0 17.81 14
女 11 1 25.39 17
女 2 0 26.16 13
女 26 1 17.48 17
女 16 1 22.66 18
女 16 2 16.87 14
女 2 0 22.27 16
女 12 1 25.32 16
女 14 5 20.2 15
女 28 1 18.44 14
女 21 2 20.69 17
女 0 3 17.78 13
女 12 2 15.98 14
女 9 2 32.6 18
女 26 3 19.83 15
女 10 4 20.81 17
女 8 1 19.13 17
女 2 1 17.98 17
女 11 0 19.99 13
女 24 1 19.17 13
女 33 3 19.33 14
女 10 0 19.35 14
女 16 0 23.03 16
女 9 2 21.29 13
女 20 0 20.7 15
女 30 8 19.57 17
女 6 1 19.1 13
女 12 3 19.57 17
女 16 0 18.73 17
女 13 0 19.91 16
女 14 2 23.07 13
女 20 5 17.58 16
女 13 0 19.65 13
女 11 2 22.68 13
女 18 2 20.81 14
女 23 4 16.66 12
女 10 0 17.67 16
女 31 1 19.23 14
女 31 1 21.49 12
女 20 2 14.34 14
女 21 0 18.36 16
女 36 2 20.7 15
女 21 0 19.16 17
女 35 0 17.17 16
女 2 0 19.15 16
女 17 2 20.85 16
女 25 1 22.58 17
女 3 2 19.29 15
女 14 4 19.53 17
女 5 1 19.46 13
女 15 0 20.83 13
女 29 2 18.37 17
女 10 1 17.9 13
女 9 1 17.29 13
女 20 1 20.08 17
女 13 4 21.08 13
女 26 6 19.4 14
女 26 4 18.9 12
女 13 1 20.96 15
女 17 2 21.21 12
女 14 0 14.34 13
女 14 2 20.28 17
女 16 2 20 12
女 12 2 18.36 17
女 8 0 18.73 16
女 19 0 20.17 16
女 33 0 19.65 16
女 20 4 29 15
女 20 3 21.64 16
女 8 0 22.99 13
女 10 0 29.48 12
女 13 1 18.03 14
女 6 4 22.66 13
女 17 5 17.36 13
女 15 3 17.26 13
女 16 2 19.47 17
女 2 2 22.89 15
女 9 0 19.96 14
女 33 1 17.63 17
女 37 1 21.36 18
女 18 2 20.32 17
女 27 0 18.31 15
女 20 1 22.19 16
女 34 6 21.62 15
女 8 2 18 17
女 16 0 20.17 17
女 12 2 19.4 14
女 24 3 21.79 16
女 29 3 19.81 18
女 30 0 21.22 16
女 9 4 21.5 13
女 8 1 16.65 16
女 25 4 16.63 17
女 13 2 24.22 17
女 15 1 17.31 18
女 19 2 18.8 18
女 15 2 18.66 13
女 32 3 24.78 16
女 9 1 15.79 12
女 11 1 17.97 12
女 28 12 19.82 13
女 13 1 17.01 17
女 9 1 15.15 13
女 10 1 14.27 13
女 17 3 17.85 13
女 3 0 20.03 16
女 9 0 19.72 17
女 32 2 19.38 15
女 24 1 19.23 18
女 4 0 23.44 18
女 21 1 21.37 15
女 26 3 23.73 17
女 16 2 18.22 13
女 13 5 35.33 14
女 13 1 19.05 14
女 20 4 17.58 17
女 10 2 16.88 12
女 52 2 20.93 14
女 7 0 22.83 15
女 13 0 18.03 15
女 15 0 16.65 14
女 7 1 17.71 13
女 14 3 17.94 13
女 4 0 20.7 15
女 23 4 18.17 14
女 28 3 22.89 16
女 14 2 17.67 14
女 20 0 15.82 14
女 20 1 19.68 18
女 43 3 24.77 18
女 3 2 17.54 13
女 33 5 18.83 15
女 23 4 23.83 14
女 21 3 20.81 13
女 37 0 20.28 17
女 17 2 20.57 18
女 19 2 15.43 16
女 20 1 19.17 15
女 17 0 20.2 15
女 11 3 26.71 14
女 16 4 19.15 13
女 14 1 19.78 18
女 8 0 18.6 16
女 6 1 18.31 16
女 31 6 20.66 15
女 20 6 20.24 12
女 14 2 23.44 17
女 16 0 21.72 16
女 25 3 22.43 12
女 0 1 20.28 16
女 11 4 18.47 15
女 8 0 19.14 12
女 31 1 20.57 17
女 12 0 24.84 13
女 0 0 25.97 12
女 7 4 19.11 14
女 13 1 17.15 17
女 6 0 16.35 12
女 9 1 20.66 17
女 5 1 23.92 15
女 39 2 16.9 14
女 21 0 18.83 17
女 1 0 17.9 14
女 17 0 21.63 17
女 12 2 24.61 17
女 11 6 16.66 13
女 3 0 21.33 17
女 4 0 23.12 15
女 27 2 17.94 18
女 19 5 20 17
女 14 2 13.85 12
女 18 2 20.96 18
女 25 4 20.83 15
女 21 3 19.29 14
女 10 0 16.87 17
女 33 2 23.01 16
女 9 1 23.81 16
女 9 1 24.65 14
女 30 1 20.31 13
女 39 3 21.75 14
女 8 0 20.57 13
女 25 0 19.38 16
女 27 1 20.6 15
女 14 1 20.57 15
女 16 1 19.15 14
女 12 4 20.78 14
女 18 1 18.82 18
女 1 0 22.27 18
女 33 2 16.44 15
女 8 3 17.48 16
女 15 0 18.18 12
女 21 5 18.2 15
女 21 0 25.08 13
女 9 6 23.05 14
女 13 4 17.15 17
女 13 3 21.88 15
女 7 0 30.48 15
女 15 3 15.6 14
女 29 1 17.78 12
女 13 1 19.14 13
女 33 3 19.22 12
女 10 0 21.33 17
女 30 3 25.65 15
女 4 1 17.31 12
女 7 1 30.11 18
女 11 0 26.31 17
女 8 0 19.29 14
女 10 0 19.92 15
女 31 2 21.19 16
女 4 0 18.47 16
女 21 3 17.9 13
女 14 1 23.44 17
女 43 4 17.69 12
女 15 6 23.19 14
女 32 5 20.31 16
女 17 1 18.73 17
女 33 1 21.63 16
女 16 5 19.52 14
女 7 1 15.4 13
女 13 0 22.64 15
女 4 1 20.32 16
女 7 3 16.23 13
女 34 4 24.34 13
女 3 0 19.72 15
女 26 4 19.11 13
女 12 4 27.71 12
女 14 0 21.88 16
女 5 2 19.14 17
女 11 0 16.44 13
女 14 2 22.6 15
女 8 1 22.27 15
女 2 0 22.46 16
女 5 3 16.98 13
女 5 3 17.48 12
女 4 4 18.82 12
女 15 4 24.03 17
女 25 2 21.34 18
女 24 1 16.61 17
女 17 3 27.64 17
女 7 4 21.23 14
女 5 0 17.97 12
女 8 4 20.7 14
女 7 3 17.19 12
女 5 1 23.73 17
女 28 4 17.26 15
女 17 0 19.38 17
女 9 3 20.34 13
女 7 0 20.2 12
女 0 1 17.67 13
女 19 0 19.81 17
女 16 4 23.23 14
女 14 1 18.8 17
女 17 3 18.29 15
女 21 6 23.62 13
女 16 0 20.2 18
女 10 5 17.51 14
女 6 0 21.79 15
女 14 1 15.18 14
女 5 0 15.6 13
女 2 0 18.52 14
女 26 2 26.54 14
女 21 0 17.85 17
