"國家" "性別" "父母教育" "數學" "化學" "地科" "生物" "物理" "電腦" "書桌" "書" "房間" "網路" "書量"
"台灣" "女生" "高中" 729.39375 624.79185 607.81868 650.68663 618.33965 "有" "無" "有" "無" "有" "26-100本"
"台灣" "女生" "高中" 776.19646 661.77902 665.70747 627.94517 616.70036 "有" "有" "有" "無" "有" "11-25本"
"台灣" "女生" "國小以下" 718.17348 708.77838 629.33929 617.45072 663.3176 "有" "有" "無" "無" "有" "10本以下"
"台灣" "女生" "初中" 607.18468 632.98362 620.31915 592.05272 616.46107 "有" "無" "無" "無" "有" "200本以上"
"台灣" "女生" "大學以上" 658.17594 617.81831 614.09074 560.19193 591.0047 "有" "無" "無" "無" "有" "26-100本"
"台灣" "女生" "專科" 478.5763 601.22049 591.04169 598.78817 553.99592 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "高中" 657.29168 627.64184 566.23442 539.3214 541.78209 "有" "有" "有" "無" "有" "11-25本"
"台灣" "女生" "大學以上" 675.60044 600.85573 585.27482 515.64977 562.24803 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "初中" 601.04247 613.94278 601.32545 597.76121 508.49925 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "高中" 628.61673 592.42861 591.158 617.88334 601.98099 "有" "有" "有" "有" "有" "101-200本"
"台灣" "女生" "高中" 639.98171 602.74379 559.56999 520.09421 558.63622 "有" "有" "有" "有" "有" "11-25本"
"台灣" "女生" "大學以上" 510.31744 488.66354 459.79394 521.98707 408.12395 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "高中" 499.47292 593.3865 563.17689 552.9873 521.80868 "有" "無" "有" "無" "有" "11-25本"
"台灣" "女生" "高中" 716.33155 624.5338 560.16749 581.87043 553.30481 "有" "有" "有" "有" "有" "101-200本"
"台灣" "男生" "高中" 599.81608 609.11918 546.66865 541.99911 599.34093 "有" "無" "有" "無" "有" "26-100本"
"台灣" "男生" "高中" 642.59795 495.48192 480.92557 417.61807 496.86949 "有" "有" "有" "有" "有" "10本以下"
"台灣" "男生" "大學以上" 661.83745 727.76182 679.53038 651.37284 686.58313 "有" "無" "無" "有" "有" "101-200本"
"台灣" "男生" "初中" 603.03077 653.31906 656.45678 584.10841 577.48054 "有" "有" "無" "有" "有" "26-100本"
"台灣" "男生" "初中" 752.29376 643.10218 613.93111 569.26772 580.10435 "有" "有" "無" "有" "有" "11-25本"
"台灣" "男生" "高中" 590.1165 682.55113 665.72602 606.25522 650.92472 "有" "有" "有" "無" "有" "11-25本"
"台灣" "男生" "初中" 486.36178 498.5964 506.34703 451.25356 496.73419 "有" "有" "有" "有" "有" "10本以下"
"台灣" "男生" "高中" 493.17439 501.65523 509.97029 480.71924 489.57527 "有" "有" "有" "無" "有" "10本以下"
"台灣" "男生" "高中" 555.68593 546.54775 552.84687 493.40422 486.95016 "有" "無" "無" "無" "有" "10本以下"
"台灣" "男生" "高中" 577.66916 613.79275 517.86844 514.51184 563.67477 "有" "有" "有" "無" "有" "26-100本"
"台灣" "男生" "高中" 485.95965 666.41735 641.80867 658.79602 606.27442 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "高中" 442.7694 436.41286 449.60957 432.5047 429.35291 "有" "有" "有" "有" "有" "10本以下"
"台灣" "男生" "高中" 478.76312 486.66832 480.5536 441.81519 424.1377 "有" "有" "無" "有" "有" "11-25本"
"台灣" "男生" "高中" 403.29117 387.38392 386.45811 347.17392 368.98019 "有" "有" "無" "有" "有" "10本以下"
"台灣" "男生" "高中" 652.94313 521.24053 531.1208 571.93888 538.82527 "有" "有" "無" "有" "有" "10本以下"
"台灣" "男生" "高中" 475.3748 497.15383 521.03158 476.59722 497.3618 "有" "有" "有" "有" "有" "26-100本"
"台灣" "男生" "高中" 560.78623 483.09143 493.74093 458.48656 488.9529 "有" "有" "有" "無" "有" "10本以下"
"台灣" "男生" "大學以上" 628.11147 563.40003 569.66521 524.23051 561.34611 "有" "有" "有" "無" "有" "11-25本"
"台灣" "男生" "初中" 458.05008 358.01317 414.78357 369.38761 453.10714 "無" "無" "無" "有" "無" "10本以下"
"台灣" "男生" "初中" 651.26634 586.18153 598.34616 554.41753 552.69837 "有" "有" "有" "無" "有" "11-25本"
"台灣" "男生" "高中" 510.0133 392.18363 439.33192 374.12676 421.12306 "無" "無" "無" "有" "無" "10本以下"
"台灣" "男生" "高中" 675.29608 725.10976 637.12113 662.38274 631.63696 "有" "有" "無" "無" "有" "10本以下"
"台灣" "男生" "初中" 602.45255 556.73593 484.64747 509.30973 525.41874 "有" "無" "無" "有" "有" "11-25本"
"台灣" "男生" "國小以下" 537.66153 456.03439 437.18373 502.74133 451.29098 "有" "有" "有" "有" "有" "10本以下"
"台灣" "男生" "高中" 589.90912 601.76681 607.93215 597.33535 591.15756 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "高中" 583.52892 556.9439 531.39892 541.55983 556.25486 "有" "有" "有" "有" "有" "10本以下"
"台灣" "男生" "高中" 572.26283 519.83026 530.12985 463.05702 527.16714 "有" "有" "有" "有" "有" "10本以下"
"台灣" "男生" "高中" 556.10527 530.02608 574.58669 535.56698 574.78974 "有" "無" "無" "有" "有" "26-100本"
"台灣" "男生" "高中" 508.58524 548.89987 536.6306 518.47259 504.87031 "有" "有" "無" "有" "有" "26-100本"
"台灣" "男生" "高中" 517.24492 535.17495 584.00269 574.35744 515.49679 "有" "無" "無" "有" "有" "11-25本"
"台灣" "女生" "專科" 654.00672 654.52791 648.88499 560.53039 606.49559 "有" "有" "有" "無" "有" "200本以上"
"台灣" "女生" "初中" 329.3751 299.21591 416.8652 358.03641 407.85554 "有" "無" "無" "無" "有" "10本以下"
"台灣" "女生" "高中" 525.5456 418.01295 492.3394 434.24329 417.97934 "有" "無" "有" "無" "有" "26-100本"
"台灣" "女生" "高中" 581.32821 523.79025 571.59659 524.9165 482.41952 "有" "無" "有" "無" "有" "11-25本"
"台灣" "女生" "初中" 552.36845 558.36409 565.85264 534.55487 507.34638 "有" "有" "有" "有" "無" "11-25本"
"台灣" "女生" "高中" 638.92985 589.46852 570.5788 527.8372 514.84212 "有" "有" "無" "無" "有" "101-200本"
"台灣" "女生" "高中" 639.18907 633.53092 616.86599 588.35023 565.30588 "有" "有" "有" "無" "有" "26-100本"
"台灣" "女生" "高中" 494.46168 611.16993 584.01152 546.01572 545.23721 "無" "有" "無" "無" "無" "10本以下"
"台灣" "女生" "初中" 562.18871 548.53009 509.18458 489.66965 512.35067 "有" "無" "有" "無" "有" "26-100本"
"台灣" "女生" "高中" 608.96169 502.47684 532.83527 513.86546 490.01499 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "高中" 524.30949 491.72062 490.67261 463.46543 474.03452 "有" "有" "有" "無" "有" "101-200本"
"台灣" "女生" "初中" 630.94258 569.70711 561.96248 547.49724 545.57906 "有" "有" "有" "有" "有" "10本以下"
"台灣" "女生" "高中" 637.06222 617.64963 596.54997 602.95339 539.8638 "有" "有" "有" "無" "有" "10本以下"
"台灣" "女生" "專科" 550.1492 563.08055 543.9929 491.10218 485.76281 "有" "有" "有" "無" "有" "26-100本"
